Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Luan;Kalzaks;2022-09-14 00:21:34+00:00;Queria fazer igual o luva de pedreiro e me APOSENTAR;0;3;2
junim ✠;joaomarquesjr_;2022-09-14 00:21:12+00:00;@juaribeiro_ dá mesmo não. luva de pedreiro já vai se aposentar;0;0;0
Fabiana Coimbra 🥰;Fabiana88010954;2022-09-14 00:20:53+00:00;Humildade simplicidade e honestidade não tem preço @luvadepedreiro;0;0;0
College Dropout;naotaosobrio;2022-09-14 00:20:14+00:00;"Luva de Pedreiro - não vai votar
Ana Maria Braga - Simone Tebet
Xaropinho - Bolsonaro
Andre Marques - Bolsonaro (no sigilo)
Luciano Huck - Simone Tebet
Toguro - Bolsonaro
Manoel Caneta Azul - Bolsonaro
Rei Charles III - Bolsonaro
Rogério Flausino - Bolsonaro
Tite - Lula https://t.co/P8HUvIVdii";0;3;1
Sójoão;DShaows;2022-09-14 00:20:11+00:00;"@naosalvo Luva de Pedreiro - lula
Ana Maria Braga - Ciro
Xaropinho - Bolsonaro 
Andre Marques - lula 
Luciano Huck - tebet 
Toguro - lula
Manoel Caneta Azul - Bolsonaro 
Rei Charles III - Bolsonaro 
Rogério Flausino - Bolsonaro 
Tite - Bolsonaro";0;0;0
Fabiana Coimbra 🥰;Fabiana88010954;2022-09-14 00:20:02+00:00;O @luvadepedreiro veio pra mostrar que dinheiro não trás felicidade mas se ele quiser dou o número do meu pix;0;0;0
Filipe Oliveira;FilipeOlliveira;2022-09-14 00:19:40+00:00;Queria viralizar com alguma coisa que nem Luva de pedreiro pra ganhar um dinheiro e depois encerrar a carreira. Não gostaria de ser famoso pra sempre;0;0;0
lucas;savethedcy;2022-09-14 00:19:21+00:00;gente sério quem é luva de pedreiro e o que ele faz?;0;0;0
werg pichau cadê minha cadeiraᶜʳᶠ;HadokenEx;2022-09-14 00:18:51+00:00;mds tentando dormir mas n consigo parar de pensar na aposentadoria do luva de pedreiro 😭😭;0;120;10
Leandro Guimarães;guimaraesleand_;2022-09-14 00:18:48+00:00;"""Graças a Deus pai ❤️valeu tropa""

Essas foram as palavras do Iran, vulgo @luvadepedreiro. Às vezes, um passo atrás também é sabedoria. Toda sorte do mundo! https://t.co/IJ1ulqOYRL";0;0;0
guilherme ☯︎;gdeitos_;2022-09-14 00:18:45+00:00;luva de pedreiro aposentou memo;0;0;0
Victor;viitorliveira;2022-09-14 00:18:35+00:00;"O luva de pedreiro é o primeiro influencer que eu vejo a se  “aposentar"" kkkkkk";0;14;1
BaD :(;XxxxX_dlx;2022-09-14 00:17:58+00:00;Luva de pedreiro vai parar com tudo kkkk e eu só querendo 5% da fama q ele ganhou;0;1;0
🅲🆁🅵SIGO DE VOLTA😎;Ferreirajsc11;2022-09-14 00:17:53+00:00;Tô igual o luva de pedreiro 🥺;0;0;0
DJ VICENTINI;Gabe_100;2022-09-14 00:17:07+00:00;"Luva de pedreiro desistiu por causa disso veja antes que saía do ar 😱
https://t.co/2DyqEwyMkp
#MúsicaBoaAoVivo";0;0;0
Luigilisboa;luigilisboa;2022-09-14 00:16:53+00:00;O luva de pedreiro desistiu, não confio mais no hexa 😭;0;0;0
donnie;apheliosssss;2022-09-14 00:16:40+00:00;luva de pedreiro deve ter aguentado muita porra calado;0;1;0
DJ VICENTINI;Gabe_100;2022-09-14 00:16:27+00:00;"Luva de pedreiro desistiu por causa disso veja antes que saía do ar 😱
https://t.co/2DyqEwyMkp
#AFazenda";0;0;0
DJ VICENTINI;Gabe_100;2022-09-14 00:15:57+00:00;"Luva de pedreiro desistiu por causa disso veja antes que saía do ar 😱
https://t.co/2DyqEwyeuR #CasaDaChampions #Deolanenafazenda";0;0;0
peppo💢🗣;pepo16y;2022-09-14 00:15:30+00:00;O luva de pedreiro se aposentou???;0;0;0
Murilo;bmmurilo;2022-09-14 00:15:24+00:00;luva de pedreiro deve ter aguentado muita porra calado;0;0;0
