Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
.;polpotsantista;2022-11-22 01:16:08+00:00;"@Bernardoocsf @Selecaoinfo Pelas prévias o tite tá enxergando ele como meia armador reserva, ou seja reserva do neymar

Espero que ele seja usado nas outras posições também, senão ele vai ganhar pouquíssimos minutos";0;2;0
Juliana;psychlcsandwich;2022-11-22 01:16:00+00:00;"ele escolheu uma namorada

MAS AGORA 

ENTEE O TITE NO CORINTHUAS E O MUNDIAL DO CORINTHIANS ELE PENSOU";0;0;0
Ari Sttortini 🇾🇪;dos_ariovaldo;2022-11-22 01:15:57+00:00;@Economesteter Nelson Barbosa voltar a dar as cartas na economia tupiniquim é tipo o Joel Santana assumir a seleção brasileira depois do Tite! Bizarro ao extremo!;0;0;0
LUCAS FRANKLIN 🇺🇦;lf_aquino;2022-11-22 01:15:55+00:00;@LeeonardoS7 4 anos atrás a gente tinha o PAULINHO ali na meiuca... Kkkkk que bizarro. Depois de 3 ou 4  jogos ruins dele Tite teve a coragem de sacar.;0;0;0
✨ Richard De Souzaa ✨;MarcosRichardd2;2022-11-22 01:15:55+00:00;"@futebol_info @geglobo Muito obrigado Tite ..
Se não inventar essa copa é nossa 🤌";0;0;0
Fabinho;FbioAnt;2022-11-22 01:15:51+00:00;O tite vai pro ataque https://t.co/za8iQNFjhh;0;0;0
Apoiador Polemico SEP;ApoiadorS;2022-11-22 01:15:40+00:00;Duvido o Tite abrir mão do Fred que ele ama https://t.co/jwFRqOnY7l;0;1;0
betin;humbertin_;2022-11-22 01:15:13+00:00;@futebol_info @geglobo olha lá hein sr tite;0;0;0
Lucas;Lucas31437179;2022-11-22 01:15:11+00:00;"@lucguardiola @paisoltaram fred contra tunisia tite ja disse um milhao de vezes que gosta de time equilibrado.
https://t.co/seypcphpKv";0;1;0
valval;valdinecarlos_;2022-11-22 01:15:04+00:00;"eu defendo tanto a seleção do tite pro meu pai (q odeia ele) q o tanto de ""eu avisei"" q vou ouvir se o brasil não ganhar essa copa não ta escrito kkkkkkkk";0;0;0
Mirandaᶜʳᶠ;miirandagabi;2022-11-22 01:15:00+00:00;se ele meter essa escalação eu tiro fico 2 dia sem criticar Tite https://t.co/OgyWNadYSm;0;0;0
manu pela 6ª estrela⭐🇧🇷;maanucec;2022-11-22 01:14:57+00:00;seleção do tite faltou só convocar o mc rick que só joga sem chuteira e mete bola com apetite;0;0;0
Jorge Nader Sain't;yveresty;2022-11-22 01:14:56+00:00;"daqui a 4 anos tem outra , daqui a 8 anos mais outras
o Tite é comunista mesmo. 
se me pedirem hoje para citar 3 jogadores da seleção , eu não sei dizer.
mas cito muito ministro que não quer ser citado. https://t.co/Y34h2fGzZd";0;1;0
Ladrilheiro do Maracanã;LadrilheiroCRF;2022-11-22 01:14:47+00:00;Sim pô, a torcida tá errada de querer ver um dos melhores jogadores do mundo, só na cabeça do tite e sua igreja existe cogitar ele no banco https://t.co/n2q210iv9q;0;0;0
Borges;jao_bda;2022-11-22 01:14:38+00:00;@L_Lineck @futtmais @geglobo na verdade surpreendeu a maioria, eu mesmo pensei que o Tite fosse dar uma de maluco e por o fred;0;0;0
madu. 🇧🇷;atletisco;2022-11-22 01:14:36+00:00;o tite deixando só um volante de origem pra marcar no meio, esse velho é maluco;0;0;0
Kelvintoza ᶜʳᶠ;kelvintoza;2022-11-22 01:14:29+00:00;@CaioHenri1945 @futebol_info @geglobo Mas a escalação da Sérvia na liga das nações vinha sendo o 3-4-2-1, um ataque potente destrói essa formação, principalmente o VNJR com velocidade e drible rápido, vão ficar perdido, só basta o tite ler o jogo deles;0;0;0
aprendiz de otária;cxpricxcrf;2022-11-22 01:14:17+00:00;se o tite colocar essa escalação em campo eu paro de chamar ele de covarde https://t.co/fGSvIhnuB4;0;0;0
JPFC • 🇧🇷🇶🇦;LucasKS1912;2022-11-22 01:14:07+00:00;"@Gabriel_JesusBR Mesma coisa da copa passada, que se não me engano foi uns amigos do jesus no treino e eles gravaram um bagulho que não podia, acho que era sobre escalação também.

Tite tem que fechar o treino, mas fechar mesmo, só eles lá dentro, familiar vai depois do treino.";0;0;0
🇺🇾;caiofrinds;2022-11-22 01:13:56+00:00;@carrijinhoo @kvxratskheIia 6 participações em gols nos últimos 4 jogos e outra, Pedro é muito lento, não marca como o richarlison, tite só convocou se precisar em alguma circunstância de jogo que provavelmente não ocorrerá, Jesus entra antes do Pedro;0;0;0
Acabou o Amor;adriel_souza10;2022-11-22 01:13:48+00:00;CORAGEM TITE, O HEXA VEM https://t.co/QELV9rdGLO;0;1;0
c🇦rlosjunior ⭐⭐⭐⭐⭐⭐;Carlosjuniiorrr;2022-11-22 01:13:34+00:00;Sem medo Tite, é isso. https://t.co/jjFMsrtKKs;0;2;0
Fla-Sofá;Dida_CRF;2022-11-22 01:13:26+00:00;"Se Vinícius Jr for reserva é caso de impeachment do Tite.

Nesse caso o Alckmin assume";0;10;0
